object,url
2024-02 工程中期检查.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/2024-02%20%E5%B7%A5%E7%A8%8B%E4%B8%AD%E6%9C%9F%E6%A3%80%E6%9F%A5.mp4
2024-04 工程完整形态.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/2024-04%20%E5%B7%A5%E7%A8%8B%E5%AE%8C%E6%95%B4%E5%BD%A2%E6%80%81.mp4
202503 IsaacSim自动避障.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202503%20IsaacSim%E8%87%AA%E5%8A%A8%E9%81%BF%E9%9A%9C.mp4
202503 导纳控制.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202503%20%E5%AF%BC%E7%BA%B3%E6%8E%A7%E5%88%B6.mp4
202510 齿轮装配.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202510%20%E9%BD%BF%E8%BD%AE%E8%A3%85%E9%85%8D.mp4
202510 齿轮装配.png,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202510%20%E9%BD%BF%E8%BD%AE%E8%A3%85%E9%85%8D.png
202601 CAN通信.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20CAN%E9%80%9A%E4%BF%A1.mp4
202601 Delmia入门.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20Delmia%E5%85%A5%E9%97%A8.mp4
202601 Delmia机械装置.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20Delmia%E6%9C%BA%E6%A2%B0%E8%A3%85%E7%BD%AE.mp4
202601 PID控制.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20PID%E6%8E%A7%E5%88%B6.mp4
202601 Qt入门.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20Qt%E5%85%A5%E9%97%A8.mp4
202601 SolidWorks修改原点.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20SolidWorks%E4%BF%AE%E6%94%B9%E5%8E%9F%E7%82%B9.mp4
202601 SolidWorks入门.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20SolidWorks%E5%85%A5%E9%97%A8.mp4
202601 SolidWorks安装指南.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20SolidWorks%E5%AE%89%E8%A3%85%E6%8C%87%E5%8D%97.mp4
202601 SolidWorks草图绘制.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20SolidWorks%E8%8D%89%E5%9B%BE%E7%BB%98%E5%88%B6.mp4
202601 SolidWorks警告消除.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20SolidWorks%E8%AD%A6%E5%91%8A%E6%B6%88%E9%99%A4.mp4
202601 Unity入门.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20Unity%E5%85%A5%E9%97%A8.mp4
202601 VS Code入门.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20VS%20Code%E5%85%A5%E9%97%A8.mp4
202601 h头文件.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20h%E5%A4%B4%E6%96%87%E4%BB%B6.mp4
202601 串口通信.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20%E4%B8%B2%E5%8F%A3%E9%80%9A%E4%BF%A1.mp4
202601 光电开关.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20%E5%85%89%E7%94%B5%E5%BC%80%E5%85%B3.mp4
202601 光耦继电器.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20%E5%85%89%E8%80%A6%E7%BB%A7%E7%94%B5%E5%99%A8.mp4
202601 双环PID.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20%E5%8F%8C%E7%8E%AFPID.mp4
202601 气动控制.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20%E6%B0%94%E5%8A%A8%E6%8E%A7%E5%88%B6.mp4
202601 电动推杆.mp4,https://drestryrobot.oss-cn-hangzhou.aliyuncs.com/202601%20%E7%94%B5%E5%8A%A8%E6%8E%A8%E6%9D%86.mp4
